.21,-1.03,-0.01,2.14,1.28,1.53,16.28,32.13,-3.44,
698381,0.21,-1.05,-0.01,1.89,1.40,1.53,16.28,32.13,-3.44,
698389,0.20,-1.00,-0.02,2.50,1.46,1.34,16.28,32.13,-3.44,
698398,0.20,-1.00,-0.01,2.26,1.65,1.40,16.28,32.13,-3.44,
698407,0.19,-1.01,-0.00,1.95,1.34,1.40,16.31,31.76,-3.52,
698416,0.20,-1.01,-0.01,2.56,1.65,1.40,16.31,31.76,-3.52,
698424,0.21,-1.01,-0.02,2.56,1.53,1.65,16.31,31.76,-3.52,
698433,0.20,-1.01,-0.01,2.01,1.59,1.28,16.31,31.76,-3.52,
698442,0.20,-1.03,0.00,1.65,1.59,1.16,16.31,31.76,-3.52,
698450,0.21,-1.02,-0.00,2.38,1.10,1.71,16.26,31.85,-3.32,
698459,0.19,-1.01,-0.02,2.62,1.34,1.59,16.26,31.85,-3.32,
698468,0.21,-1.02,-0.01,2.32,1.53,1.65,16.26,31.85,-3.32,
698476,0.20,-1.02,-0.00,2.08,1.28,1.40,16.26,31.85,-3.32,
698485,0.20,-1.01,-0.01,2.32,1.46,1.53,16.26,31.85,-3.32,
698494,0.21,-1.01,-0.01,2.14,1.59,1.71,16.26,31.85,-3.32,
698502,0.20,-1.02,-0.01,2.08,1.53,1.40,15.73,31.63,-3.93,
698511,0.20,-1.02,-0.01,2.32,1.59,1.46,15.73,31.63,-3.93,
698520,0.21,-1.01,-0.01,2.56,1.53,1.59,15.73,31.63,-3.93,
698528,0.20,-1.01,-0.02,2.50,1.71,1.34,15.73,31.63,-3.93,
698537,0.20,-1.02,-0.01,2.01,1.59,1.53,15.73,31.63,-3.93,
698546,0.20,-1.02,-0.01,2.08,1.46,1.59,15.73,31.84,-3.88,
698554,0.20,-1.01,-0.02,2.38,1.65,1.46,16.22,31.84,-3.88,
698563,0.20,-1.01,-0.01,2.14,1.59,1.59,16.22,31.84,-3.88,
698572,0.20,-1.02,-0.01,2.14,1.40,1.65,16.22,31.84,-3.88,
698580,0.20,-1.01,-0.01,2.20,1.46,1.53,16.22,31.84,-3.88,
698589,0.20,-1.02,-0.01,2.32,1.53,1.53,16.22,31.84,-3.88,
698598,0.20,-1.02,-0.01,2.32,1.59,1.65,16.15,31.62,-3.97,
698606,0.20,-1.01,-0.01,2.32,1.46,1.53,16.15,31.62,-3.97,
698615,0.20,-1.02,-0.02,2.38,1.53,1.46,16.15,31.62,-3.97,
698624,0.21,-1.02,-0.01,2.32,1.34,1.59,16.15,31.62,-3.97,
698633,0.19,-1.01,-0.01,2.26,1.59,1.53,16.15,31.62,-3.97,
698641,0.20,-1.02,-0.01,2.32,1.40,1.65,16.15,31.62,-3.97,
698650,0.21,-1.01,-0.01,2.32,1.34,1.65,16.48,31.98,-3.85,
698659,0.19,-1.01,-0.01,2.38,1.53,1.28,16.48,31.98,-3.85,
698667,0.20,-1.02,-0.01,2.20,1.22,1.59,16.48,31.98,-3.85,
698676,0.21,-1.02,-0.01,2.26,1.16,1.71,16.48,31.98,-3.85,
